Titulo do Projeto;ID Issue;ID Pergunta;Titulo;Respondida;Respostas;Data da criação;Link;Tags
tensorflow/tensorflow;1;38009682;How to tell if tensorflow is using gpu acceleration from inside python shell?;True;27;2016-06-24 06:14:23;https://stackoverflow.com/questions/38009682/how-to-tell-if-tensorflow-is-using-gpu-acceleration-from-inside-python-shell;python, tensorflow, ubuntu, gpu;
tensorflow/tensorflow;1;41293077;How to compile Tensorflow with SSE4.2 and AVX instructions?;True;12;2016-12-22 20:21:14;https://stackoverflow.com/questions/41293077/how-to-compile-tensorflow-with-sse4-2-and-avx-instructions;tensorflow, x86, compiler-optimization, simd, compiler-options;
tensorflow/tensorflow;1;35911252;Disable Tensorflow debugging information;True;13;2016-03-10 05:32:58;https://stackoverflow.com/questions/35911252/disable-tensorflow-debugging-information;python, tensorflow;
tensorflow/tensorflow;1;38559755;How to get current available GPUs in tensorflow?;True;11;2016-07-25 01:30:38;https://stackoverflow.com/questions/38559755/how-to-get-current-available-gpus-in-tensorflow;python, gpu, tensorflow;
tensorflow/tensorflow;1;58441514;Why is TensorFlow 2 much slower than TensorFlow 1?;True;2;2019-10-17 19:28:33;https://stackoverflow.com/questions/58441514/why-is-tensorflow-2-much-slower-than-tensorflow-1;python, tensorflow, keras, performance-testing, tensorflow2.0;
tensorflow/tensorflow;1;34619177;What does tf.nn.conv2d do in tensorflow?;True;6;2016-01-05 15:51:56;https://stackoverflow.com/questions/34619177/what-does-tf-nn-conv2d-do-in-tensorflow;neural-network, tensorflow;
tensorflow/tensorflow;1;33932901;What&#39;s the purpose of tf.app.flags in TensorFlow?;True;5;2015-11-26 04:34:17;https://stackoverflow.com/questions/33932901/whats-the-purpose-of-tf-app-flags-in-tensorflow;python, tensorflow;
tensorflow/tensorflow;1;55142951;Tensorflow 2.0 - AttributeError: module &#39;tensorflow&#39; has no attribute &#39;Session&#39;;True;10;2019-03-13 10:23:19;https://stackoverflow.com/questions/55142951/tensorflow-2-0-attributeerror-module-tensorflow-has-no-attribute-session;python, tensorflow, keras, tensorflow2.0;
tensorflow/tensorflow;1;45682010;docker : invalid reference format;True;7;2017-08-14 16:49:10;https://stackoverflow.com/questions/45682010/docker-invalid-reference-format;docker;
tensorflow/tensorflow;1;40666316;How to get Tensorflow tensor dimensions (shape) as int values?;True;6;2016-11-17 19:37:28;https://stackoverflow.com/questions/40666316/how-to-get-tensorflow-tensor-dimensions-shape-as-int-values;python, tensorflow, machine-learning, artificial-intelligence;
