Título do Projeto;Data de criacao;Estrelas;Linguagem principal;Total de Issues;Total de Issues Abertas;Total de Issues Fechadas;URL do repositorio
tensorflow/tensorflow;07/11/15 01:19:20;149597;C++;28385;3839;24546;https://github.com/tensorflow/tensorflow
keras-team/keras;28/03/15 00:35:42;50086;Dockerfile;10294;3093;7201;https://github.com/keras-team/keras
pytorch/pytorch;13/08/16 05:26:41;43429;C++;16824;5087;11737;https://github.com/pytorch/pytorch
scikit-learn/scikit-learn;17/08/10 09:43:38;42722;Python;7977;1537;6440;https://github.com/scikit-learn/scikit-learn
aymericdamien/TensorFlow-Examples;11/11/15 14:21:19;39132;Jupyter Notebook;218;152;66;https://github.com/aymericdamien/TensorFlow-Examples
tesseract-ocr/tesseract;12/08/14 18:04:59;36998;C++;1932;299;1633;https://github.com/tesseract-ocr/tesseract
ageitgey/face_recognition;03/03/17 21:52:39;36852;Python;1057;537;520;https://github.com/ageitgey/face_recognition
deepfakes/faceswap;19/12/17 09:44:13;32948;Python;640;5;635;https://github.com/deepfakes/faceswap
BVLC/caffe;12/09/13 18:39:48;30980;C++;4734;865;3869;https://github.com/BVLC/caffe
Avik-Jain/100-Days-Of-ML-Code;05/07/18 09:11:43;30392;None;0;0;0;https://github.com/Avik-Jain/100-Days-Of-ML-Code
JuliaLang/julia;21/04/11 07:01:50;30104;Julia;18721;3129;15592;https://github.com/JuliaLang/julia
binhnguyennus/awesome-scalability;27/12/17 03:46:40;27652;None;0;0;0;https://github.com/binhnguyennus/awesome-scalability
madewithml/basics;05/11/18 03:44:27;24974;Jupyter Notebook;19;0;19;https://github.com/madewithml/basics
ZuzooVn/machine-learning-for-software-engineers;09/10/16 21:20:25;24378;None;17;14;3;https://github.com/ZuzooVn/machine-learning-for-software-engineers
terryum/awesome-deep-learning-papers;03/06/16 06:48:30;22118;TeX;25;14;11;https://github.com/terryum/awesome-deep-learning-papers
ageron/handson-ml;16/02/16 19:48:39;21361;Jupyter Notebook;514;113;401;https://github.com/ageron/handson-ml
dmlc/xgboost;06/02/14 17:28:03;20012;C++;3700;231;3469;https://github.com/dmlc/xgboost
fastai/fastai;09/09/17 17:43:36;19749;Jupyter Notebook;1204;50;1154;https://github.com/fastai/fastai
donnemartin/data-science-ipython-notebooks;23/01/15 19:38:29;19680;Python;28;8;20;https://github.com/donnemartin/data-science-ipython-notebooks
fengdu78/Coursera-ML-AndrewNg-Notes;04/11/17 10:04:08;19245;HTML;49;38;11;https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
d2l-ai/d2l-zh;23/08/17 04:40:24;19018;Python;0;0;0;https://github.com/d2l-ai/d2l-zh
CMU-Perceptual-Computing-Lab/openpose;24/04/17 14:06:31;18974;C++;1473;39;1434;https://github.com/CMU-Perceptual-Computing-Lab/openpose
eriklindernoren/ML-From-Scratch;05/02/17 12:11:23;18280;Python;55;22;33;https://github.com/eriklindernoren/ML-From-Scratch
